airport,airport_name,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,lat,lon,elevation,arr_flights,arr_del15,arr_cancelled,delay_rate
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",871.0639235855988,328.73254959588536,81.93313739897134,137.4988978692138,1.2975753122703895,321.6017634092579,40.651773,-75.442797,393.0,94749.0,18628.0,2479.0,19.660365808610116
ABI,"Abilene, TX: Abilene Regional",1740.5770491803278,580.2852459016393,287.1967213114754,240.91147540983607,2.318032786885246,629.8655737704918,32.4113006592,-99.6819000244,1791.0,48436.0,9778.0,1106.0,20.187463869848873
ABQ,"Albuquerque, NM: Albuquerque International Sunport",2151.8515901060073,750.6374558303887,88.8982332155477,275.94734982332153,4.429681978798587,1031.9388692579505,35.039976,-106.608925,5355.0,634950.0,121681.0,6116.0,19.163871170958345
ABR,"Aberdeen, SD: Aberdeen Regional",546.5950920245399,292.4846625766871,127.77300613496932,44.441717791411044,0.0,81.8957055214724,45.449100494384766,-98.42179870605467,1302.0,9869.0,1060.0,158.0,10.740703212078225
ABY,"Albany, GA: Southwest Georgia Regional",982.294964028777,467.42446043165467,138.9892086330935,141.63309352517985,1.29136690647482,232.9568345323741,31.532946,-84.196215,197.0,23000.0,4455.0,397.0,19.369565217391305
ACK,"Nantucket, MA: Nantucket Memorial",1083.0916334661354,362.7848605577689,152.30677290836653,201.21115537848607,0.5976095617529881,366.19123505976097,41.25310135,-70.06020355,47.0,17614.0,3604.0,715.0,20.46099693425684
ACT,"Waco, TX: Waco Regional",1044.0637583892617,439.4731543624161,126.48657718120805,125.6241610738255,1.6006711409395973,350.87919463087246,31.611299514770508,-97.23049926757812,516.0,35815.0,5938.0,1138.0,16.57964539997208
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",3130.714285714286,1136.8496240601503,263.2631578947368,269.52255639097746,1.0,1460.078947368421,40.978101,-124.109,221.0,58178.0,13237.0,2256.0,22.752586888514557
ACY,"Atlantic City, NJ: Atlantic City International",2211.1234567901233,542.7407407407408,103.39506172839506,846.7901234567901,14.168724279835391,704.0288065843621,39.45759963989258,-74.57720184326172,75.0,39739.0,7933.0,899.0,19.962756989355547
ADK,"Adak Island, AK: Adak",77.98872180451127,27.31954887218045,5.484962406015038,17.372180451127818,0.706766917293233,27.105263157894736,51.883564,-176.642783,18.0,2302.0,435.0,153.0,18.89661164205039
ADQ,"Kodiak, AK: Kodiak Airport",382.9172932330827,124.62406015037594,73.14285714285714,58.42481203007519,0.31203007518796994,126.41353383458646,57.75,-152.4940033,78.0,15048.0,2022.0,933.0,13.43700159489633
AEX,"Alexandria, LA: Alexandria International",1038.8015037593984,412.85714285714283,131.01804511278195,173.50375939849624,2.445112781954887,318.97744360902254,31.3274,-92.549797,89.0,64320.0,12002.0,1495.0,18.659825870646767
AGS,"Augusta, GA: Augusta Regional at Bush Field",1264.3508771929824,500.14160401002505,170.56140350877192,197.30075187969925,1.3721804511278195,394.9749373433584,33.3699,-81.9645,144.0,79713.0,16001.0,1637.0,20.073262830404072
AKN,"King Salmon, AK: King Salmon Airport",289.875,112.0965909090909,15.409090909090908,29.505681818181817,21.47159090909091,111.39204545454545,58.677845,-156.651965,73.0,5018.0,948.0,151.0,18.89198884017537
ALB,"Albany, NY: Albany International",1383.6371714179934,506.1025546094039,89.03961495742318,206.04813032210293,2.5168456127360237,579.9300259163273,42.74829864501953,-73.80169677734375,285.0,290413.0,62890.0,5751.0,21.65536666747012
ALO,"Waterloo, IA: Waterloo Regional",589.159793814433,141.9278350515464,63.670103092783506,129.20618556701032,0.5927835051546392,253.76288659793815,42.557098388671875,-92.40029907226562,873.0,8925.0,1758.0,390.0,19.69747899159664
ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field",786.65,623.5,36.85,1.0,0.0,125.3,37.434898,-105.866997,7539.0,991.0,121.0,37.0,12.209889001009081
ALW,"Walla Walla, WA: Walla Walla Regional",376.7956989247312,120.75268817204301,23.204301075268816,47.354838709677416,4.225806451612903,181.25806451612902,46.09489822,-118.288002,1194.0,5476.0,798.0,221.0,14.572680788897005
AMA,"Amarillo, TX: Rick Husband Amarillo International",1459.611111111111,494.27306967984936,109.7909604519774,192.78625235404897,2.288135593220339,660.4726930320151,35.219398,-101.706001,3607.0,138975.0,28614.0,3084.0,20.58931462493254
ANC,"Anchorage, AK: Ted Stevens Anchorage International",2886.5299506694855,935.8957011980268,107.14446793516561,593.3474277660324,52.50880902043693,1197.6335447498238,61.179004,-149.992561,152.0,421598.0,83879.0,7496.0,19.895492862869368
APF,"Naples, FL: Naples Municipal",1011.9142857142857,414.2857142857143,257.42857142857144,193.85714285714286,1.8,144.54285714285714,26.1525993347,-81.7752990723,8.0,2418.0,674.0,77.0,27.874276261373037
APN,"Alpena, MI: Alpena County Regional",648.8888888888889,347.5098039215686,111.23529411764706,48.26797385620915,0.1111111111111111,141.76470588235293,45.0780983,-83.56030273,690.0,7888.0,1117.0,238.0,14.160750507099392
ART,"Watertown, NY: Watertown International",665.5426356589147,109.85271317829458,180.69767441860466,118.94573643410853,0.15503875968992248,255.89147286821705,43.991901,-76.021698,325.0,6714.0,1063.0,322.0,15.832588620792373
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",5957.785714285715,2476.12012987013,751.8831168831168,954.3409090909091,9.532467532467532,1765.909090909091,39.223202,-106.869003,7820.0,105283.0,25533.0,6002.0,24.25177853974526
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",27408.477285633162,8514.613571834185,1457.2268597387847,8242.801249290176,28.817149346961955,9165.018455423055,33.6367,-84.428101,1026.0,8367889.0,1526715.0,127918.0,18.24492413797554
ATW,"Appleton, WI: Appleton International",1264.9392888117952,498.78837814397224,121.22723330442324,182.76235906331308,1.5810928013876844,460.58022549869906,44.258099,-88.519096,918.0,105764.0,22035.0,3125.0,20.834121251087325
ATY,"Watertown, SD: Watertown Regional",478.0,261.3235294117647,65.23529411764706,37.73529411764706,0.0,113.70588235294117,44.91400146,-97.15470123,1749.0,1748.0,230.0,65.0,13.157894736842104
AUS,"Austin, TX: Austin - Bergstrom International",3838.1361834654585,1343.6118346545866,185.849093997735,672.9849943374859,6.977066817667044,1628.7131936579842,30.197535,-97.662015,542.0,1208482.0,242794.0,16576.0,20.090824687500515
AVL,"Asheville, NC: Asheville Regional",1276.6891891891892,447.97837837837835,121.39527027027027,233.6810810810811,2.3628378378378376,471.27162162162165,35.436199,-82.541801,2165.0,139288.0,28961.0,3731.0,20.792171615645284
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",824.2903865213083,299.6461843409316,72.99603567889,133.37264618434094,1.0713577799801783,316.97026759167494,41.338500976599995,-75.72339630130001,962.0,58150.0,12746.0,1790.0,21.919174548581253
AZA,"Phoenix, AZ: Mesa Gateway",8077.659793814433,2716.6494845360826,748.2061855670103,1184.639175257732,27.4020618556701,3400.762886597938,33.3078,-111.654999,1382.0,43757.0,10816.0,1023.0,24.7183307813607
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",866.6724137931035,314.6600985221675,94.80172413793103,154.85591133004925,0.43226600985221675,301.92241379310343,42.234901428222656,-85.5521011352539,874.0,62058.0,11686.0,2557.0,18.83077121402559
BDL,"Hartford, CT: Bradley International",2151.1424,770.57696,112.02368,366.52832,3.20224,898.8112,41.93851,-72.688066,173.0,566964.0,117662.0,10396.0,20.75299313536662
BET,"Bethel, AK: Bethel Airport",543.3629893238434,214.39857651245552,72.37010676156584,75.19928825622776,0.8469750889679716,180.54804270462634,60.77980042,-161.8379974,126.0,20760.0,3099.0,640.0,14.927745664739883
BFF,"Scottsbluff, NE: Scottsbluff W Neb Regional Wm B Heilig Field",764.0212765957447,460.8085106382979,49.819148936170215,55.659574468085104,0.0,197.7340425531915,41.87400055,-103.5960007,3967.0,4822.0,799.0,131.0,16.5698880132725
BFL,"Bakersfield, CA: Meadows Field",1393.7032967032967,597.4285714285714,57.324175824175825,134.0952380952381,2.6575091575091574,602.1978021978022,35.433601,-119.056999,510.0,72383.0,12623.0,960.0,17.43917770747275
BFM,"Mobile, AL: Mobile Downtown",205.07692307692307,82.61538461538461,0.0,92.84615384615384,0.0,29.615384615384617,30.626800537100003,-88.06809997559999,26.0,204.0,44.0,10.0,21.568627450980394
