airport,year,month,vsby,tmpf,p01i,sknt,weather_delay,elevation
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,132.0,125.0
MIA,2024,12,9.972011537228928,71.28246073298429,8.1759,6.5729481581009965,1458.0,8.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,3736.0,680.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,249.0,1026.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,70.0,607.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,361.0,125.0
MIA,2024,12,9.972011537228928,71.28246073298429,8.1759,6.5729481581009965,55.0,8.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,21.0,680.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,472.0,1026.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,2876.0,607.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,4186.0,1026.0
DEN,2024,12,9.99828418230563,39.65068493150685,0.0009000000000000001,7.624750277469478,10034.0,5431.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,14531.0,607.0
JFK,2024,12,8.803054054054053,40.35133876600699,33.0588,8.955828668775858,634.0,13.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,14333.0,125.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,11679.0,680.0
SFO,2024,12,8.295778910481046,54.51756756756757,34.6365,4.432022084195998,7132.0,13.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,5544.0,680.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,4.0,125.0
SFO,2024,12,8.295778910481046,54.51756756756757,34.6365,4.432022084195998,11.0,13.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,219.0,1026.0
DEN,2024,12,9.99828418230563,39.65068493150685,0.0009000000000000001,7.624750277469478,3099.0,5431.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,406.0,607.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,1024.0,125.0
MIA,2024,12,9.972011537228928,71.28246073298429,8.1759,6.5729481581009965,338.0,8.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,2119.0,680.0
SFO,2024,12,8.295778910481046,54.51756756756757,34.6365,4.432022084195998,3770.0,13.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,907.0,1026.0
DEN,2024,12,9.99828418230563,39.65068493150685,0.0009000000000000001,7.624750277469478,1620.0,5431.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,432.0,125.0
MIA,2024,12,9.972011537228928,71.28246073298429,8.1759,6.5729481581009965,130.0,8.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,82.0,680.0
SFO,2024,12,8.295778910481046,54.51756756756757,34.6365,4.432022084195998,100.0,13.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,1188.0,607.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,2684.0,1026.0
JFK,2024,12,8.803054054054053,40.35133876600699,33.0588,8.955828668775858,1333.0,13.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,546.0,1026.0
DEN,2024,12,9.99828418230563,39.65068493150685,0.0009000000000000001,7.624750277469478,443.0,5431.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,26955.0,607.0
JFK,2024,12,8.803054054054053,40.35133876600699,33.0588,8.955828668775858,374.0,13.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,1637.0,125.0
MIA,2024,12,9.972011537228928,71.28246073298429,8.1759,6.5729481581009965,2867.0,8.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,2350.0,680.0
SFO,2024,12,8.295778910481046,54.51756756756757,34.6365,4.432022084195998,1103.0,13.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,498.0,1026.0
DEN,2024,12,9.99828418230563,39.65068493150685,0.0009000000000000001,7.624750277469478,13.0,5431.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,67.0,607.0
JFK,2024,12,8.803054054054053,40.35133876600699,33.0588,8.955828668775858,376.0,13.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,177.0,125.0
MIA,2024,12,9.972011537228928,71.28246073298429,8.1759,6.5729481581009965,58.0,8.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,32.0,680.0
SFO,2024,12,8.295778910481046,54.51756756756757,34.6365,4.432022084195998,843.0,13.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,78.0,1026.0
DEN,2024,12,9.99828418230563,39.65068493150685,0.0009000000000000001,7.624750277469478,312.0,5431.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,64.0,607.0
JFK,2024,12,8.803054054054053,40.35133876600699,33.0588,8.955828668775858,442.0,13.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,66.0,125.0
MIA,2024,12,9.972011537228928,71.28246073298429,8.1759,6.5729481581009965,72.0,8.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,43.0,680.0
SFO,2024,12,8.295778910481046,54.51756756756757,34.6365,4.432022084195998,189.0,13.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,10901.0,1026.0
